chr	start	end	index	arm	eigenvector	compartment
chr18	16000000	16200000	81	1	0	0
chr18	16200000	16400000	82	1	0	0
chr18	16400000	16600000	83	1	0	0
chr18	16600000	16800000	84	1	0	0
chr18	16800000	17000000	85	1	0	0
chr18	17000000	17200000	86	2	0	0
chr18	17200000	17400000	87	2	0	0
chr18	17400000	17600000	88	2	0	0
chr18	17600000	17800000	89	2	0	0
chr18	17800000	18000000	90	2	0	0
chr18	18000000	18200000	91	2	0	0
chr18	18200000	18400000	92	2	0	0
chr18	18400000	18600000	93	2	0	0
chr18	18600000	18800000	94	2	0.026041037	1
chr18	18800000	19000000	95	2	-0.022408904	2
chr18	19000000	19200000	96	2	0.045019054	1
chr18	19200000	19400000	97	2	0.074911443	1
chr18	19400000	19600000	98	2	0.070954874	1
chr18	19600000	19800000	99	2	0.071333578	1
chr18	19800000	20000000	100	2	0.079582494	1
chr18	20000000	20200000	101	2	0.082089089	1
chr18	20200000	20400000	102	2	0.078572654	1
chr18	20400000	20600000	103	2	0.079771783	1
chr18	20600000	20800000	104	2	0.078833549	1
chr18	20800000	21000000	105	2	0.080015291	1
chr18	21000000	21200000	106	2	0.082705744	1
chr18	21200000	21400000	107	2	0.080225158	1
chr18	21400000	21600000	108	2	0.081639151	1
chr18	21600000	21800000	109	2	0.081616314	1
chr18	21800000	22000000	110	2	0.075210643	1
chr18	22000000	22200000	111	2	0.004244446	1
chr18	22200000	22400000	112	2	-0.019690333	2
chr18	22400000	22600000	113	2	-0.003290461	2
chr18	22600000	22800000	114	2	0.040012926	1
chr18	22800000	23000000	115	2	0.036267068	1
chr18	23000000	23200000	116	2	0.009525359	1
chr18	23200000	23400000	117	2	0.027714745	1
chr18	23400000	23600000	118	2	-0.002648458	2
chr18	23600000	23800000	119	2	0.007352505	1
chr18	23800000	24000000	120	2	-0.025056668	2
chr18	24000000	24200000	121	2	0.018168745	1
chr18	24200000	24400000	122	2	-0.052244788	2
chr18	24400000	24600000	123	2	-0.068737598	2
chr18	24600000	24800000	124	2	-0.071446259	2
chr18	24800000	25000000	125	2	-0.069723248	2
chr18	25000000	25200000	126	2	-0.059594071	2
chr18	25200000	25400000	127	2	-0.02626284	2
chr18	25400000	25600000	128	2	0.02255049	1
chr18	25600000	25800000	129	2	0.062259684	1
chr18	25800000	26000000	130	2	-0.033040534	2
chr18	26000000	26200000	131	2	-0.044350911	2
chr18	26200000	26400000	132	2	-0.018302228	2
chr18	26400000	26600000	133	2	0.003259961	1
chr18	26600000	26800000	134	2	0.033686427	1
chr18	26800000	27000000	135	2	0.020093529	1
chr18	27000000	27200000	136	2	0.020558707	1
chr18	27200000	27400000	137	2	-0.014488114	2
chr18	27400000	27600000	138	2	-0.036948139	2
chr18	27600000	27800000	139	2	-0.039641725	2
chr18	27800000	28000000	140	2	-0.040302204	2
chr18	28000000	28200000	141	2	-0.051503884	2
chr18	28200000	28400000	142	2	-0.061017805	2
chr18	28400000	28600000	143	2	-0.05525649	2
chr18	28600000	28800000	144	2	-0.05959566	2
chr18	28800000	29000000	145	2	-0.053511852	2
chr18	29000000	29200000	146	2	-0.019466596	2
chr18	29200000	29400000	147	2	-0.021994991	2
chr18	29400000	29600000	148	2	0.033523659	1
chr18	29600000	29800000	149	2	-0.021312708	2
chr18	29800000	30000000	150	2	0.004164967	1
chr18	30000000	30200000	151	2	-0.037220679	2
chr18	30200000	30400000	152	2	-0.065286607	2
chr18	30400000	30600000	153	2	-0.059416991	2
chr18	30600000	30800000	154	2	-0.069215899	2
chr18	30800000	31000000	155	2	-0.076433887	2
chr18	31000000	31200000	156	2	-0.068281746	2
chr18	31200000	31400000	157	2	-0.06248515	2
chr18	31400000	31600000	158	2	-0.072564817	2
chr18	31600000	31800000	159	2	-0.058488344	2
chr18	31800000	32000000	160	2	-0.066783535	2
chr18	32000000	32200000	161	2	-0.04629045	2
chr18	32200000	32400000	162	2	0.021586295	1
chr18	32400000	32600000	163	2	0.010445669	1
chr18	32600000	32800000	164	2	0.029500316	1
chr18	32800000	33000000	165	2	0.060411632	1
chr18	33000000	33200000	166	2	0.050949174	1
chr18	33200000	33400000	167	2	0.008397859	1
chr18	33400000	33600000	168	2	0.010340136	1
chr18	33600000	33800000	169	2	0.068845985	1
chr18	33800000	34000000	170	2	0.062190674	1
chr18	34000000	34200000	171	2	0.070136682	1
chr18	34200000	34400000	172	2	0.065073192	1
chr18	34400000	34600000	173	2	0.010254467	1
chr18	34600000	34800000	174	2	-0.040731967	2
chr18	34800000	35000000	175	2	-0.018150113	2
chr18	35000000	35200000	176	2	-0.03333558	2
chr18	35200000	35400000	177	2	-0.06760425	2
chr18	35400000	35600000	178	2	-0.060010003	2
chr18	35600000	35800000	179	2	-0.063160406	2
chr18	35800000	36000000	180	2	-0.068454329	2
chr18	36000000	36200000	181	2	-0.067870793	2
chr18	36200000	36400000	182	2	-0.06437668	2
chr18	36400000	36600000	183	2	-0.061451849	2
chr18	36600000	36800000	184	2	-0.047071001	2
chr18	36800000	37000000	185	2	-0.034240598	2
chr18	37000000	37200000	186	2	-0.00688786	2
chr18	37200000	37400000	187	2	0.019235165	1
chr18	37400000	37600000	188	2	-0.037855546	2
chr18	37600000	37800000	189	2	-0.031040546	2
chr18	37800000	38000000	190	2	-0.022095148	2
chr18	38000000	38200000	191	2	0.005754001	1
chr18	38200000	38400000	192	2	0.019442913	1
chr18	38400000	38600000	193	2	0.053889063	1
chr18	38600000	38800000	194	2	0.043092146	1
chr18	38800000	39000000	195	2	0.021938749	1
chr18	39000000	39200000	196	2	-0.038439001	2
chr18	39200000	39400000	197	2	-0.037747221	2
chr18	39400000	39600000	198	2	0.024233499	1
chr18	39600000	39800000	199	2	-0.032412591	2
chr18	39800000	40000000	200	2	-0.075997219	2
chr18	40000000	40200000	201	2	-0.077530694	2
chr18	40200000	40400000	202	2	-0.074162027	2
chr18	40400000	40600000	203	2	-0.078738807	2
chr18	40600000	40800000	204	2	-0.073690101	2
chr18	40800000	41000000	205	2	-0.08162083	2
chr18	41000000	41200000	206	2	-0.065449435	2
chr18	41200000	41400000	207	2	-0.040592601	2
chr18	41400000	41600000	208	2	-0.034116599	2
chr18	41600000	41800000	209	2	-0.045300869	2
chr18	41800000	42000000	210	2	-0.06349157	2
chr18	42000000	42200000	211	2	-0.053888504	2
chr18	42200000	42400000	212	2	-0.036091247	2
chr18	42400000	42600000	213	2	-0.052650054	2
chr18	42600000	42800000	214	2	-0.046887979	2
chr18	42800000	43000000	215	2	-0.016378105	2
chr18	43000000	43200000	216	2	-0.006987679	2
chr18	43200000	43400000	217	2	0.077885992	1
chr18	43400000	43600000	218	2	0.082026468	1
chr18	43600000	43800000	219	2	0.06488031	1
chr18	43800000	44000000	220	2	0.01512842	1
chr18	44000000	44200000	221	2	-0.026746867	2
chr18	44200000	44400000	222	2	-0.024709728	2
chr18	44400000	44600000	223	2	-0.023871123	2
chr18	44600000	44800000	224	2	-0.027537447	2
chr18	44800000	45000000	225	2	-0.075183521	2
chr18	45000000	45200000	226	2	-0.073696565	2
chr18	45200000	45400000	227	2	-0.018823596	2
chr18	45400000	45600000	228	2	0.013122386	1
chr18	45600000	45800000	229	2	-0.022949162	2
chr18	45800000	46000000	230	2	0.00306425	1
chr18	46000000	46200000	231	2	0.074294467	1
chr18	46200000	46400000	232	2	0.078522016	1
chr18	46400000	46600000	233	2	0.085627935	1
chr18	46600000	46800000	234	2	0.081040025	1
chr18	46800000	47000000	235	2	0.084450345	1
chr18	47000000	47200000	236	2	0.053644429	1
chr18	47200000	47400000	237	2	0.064128382	1
chr18	47400000	47600000	238	2	-0.036005097	2
chr18	47600000	47800000	239	2	-0.051547252	2
chr18	47800000	48000000	240	2	-0.031654728	2
chr18	48000000	48200000	241	2	-0.060302839	2
chr18	48200000	48400000	242	2	-0.032218934	2
chr18	48400000	48600000	243	2	0.055917648	1
chr18	48600000	48800000	244	2	-0.008957566	2
chr18	48800000	49000000	245	2	-0.074242029	2
chr18	49000000	49200000	246	2	-0.072607644	2
chr18	49200000	49400000	247	2	-0.072201415	2
chr18	49400000	49600000	248	2	-0.079776057	2
chr18	49600000	49800000	249	2	-0.076303516	2
chr18	49800000	50000000	250	2	-0.059083797	2
chr18	50000000	50200000	251	2	-0.062603684	2
chr18	50200000	50400000	252	2	-0.071814859	2
chr18	50400000	50600000	253	2	-0.074046701	2
chr18	50600000	50800000	254	2	-0.080790197	2
chr18	50800000	51000000	255	2	-0.081643597	2
chr18	51000000	51200000	256	2	-0.078095549	2
chr18	51200000	51400000	257	2	-0.078687752	2
chr18	51400000	51600000	258	2	-0.081310045	2
chr18	51600000	51800000	259	2	0.003784726	1
chr18	51800000	52000000	260	2	-0.011266568	2
chr18	52000000	52200000	261	2	0	0
chr18	52200000	52400000	262	2	-0.003393592	2
chr18	52400000	52600000	263	2	0.051260884	1
chr18	52600000	52800000	264	2	0.057915458	1
chr18	52800000	53000000	265	2	0.080674106	1
chr18	53000000	53200000	266	2	0.085240648	1
chr18	53200000	53400000	267	2	0.080501348	1
chr18	53400000	53600000	268	2	0.084597881	1
chr18	53600000	53800000	269	2	0.084675349	1
chr18	53800000	54000000	270	2	0.085820982	1
chr18	54000000	54200000	271	2	0.079664989	1
chr18	54200000	54400000	272	2	0.073190169	1
chr18	54400000	54600000	273	2	0.030967293	1
chr18	54600000	54800000	274	2	-0.008653444	2
chr18	54800000	55000000	275	2	-0.049318548	2
chr18	55000000	55200000	276	2	-0.032529444	2
chr18	55200000	55400000	277	2	0.074639093	1
chr18	55400000	55600000	278	2	0.087991991	1
chr18	55600000	55800000	279	2	0.084109507	1
chr18	55800000	56000000	280	2	0.084487011	1
chr18	56000000	56200000	281	2	0.084495276	1
chr18	56200000	56400000	282	2	0.082997231	1
chr18	56400000	56600000	283	2	0.084762307	1
chr18	56600000	56800000	284	2	0.083891319	1
chr18	56800000	57000000	285	2	0.078437232	1
chr18	57000000	57200000	286	2	0.077694828	1
chr18	57200000	57400000	287	2	0.080310197	1
chr18	57400000	57600000	288	2	0.080730581	1
chr18	57600000	57800000	289	2	0.018405045	1
chr18	57800000	58000000	290	2	-0.003332715	2
chr18	58000000	58200000	291	2	-0.005404657	2
chr18	58200000	58400000	292	2	-0.056473334	2
chr18	58400000	58600000	293	2	-0.080259807	2
chr18	58600000	58800000	294	2	-0.075533059	2
chr18	58800000	59000000	295	2	-0.074213846	2
chr18	59000000	59200000	296	2	-0.055507224	2
chr18	59200000	59400000	297	2	0.045303908	1
chr18	59400000	59600000	298	2	0.067020664	1
chr18	59600000	59800000	299	2	0.068514066	1
chr18	59800000	60000000	300	2	0.055905947	1
chr18	60000000	60200000	301	2	0.017427229	1
chr18	60200000	60400000	302	2	0.025840883	1
chr18	60400000	60600000	303	2	0.078850658	1
chr18	60600000	60800000	304	2	0.032215129	1
chr18	60800000	61000000	305	2	0.013497795	1
chr18	61000000	61200000	306	2	0.053696732	1
chr18	61200000	61400000	307	2	0.022516354	1
chr18	61400000	61600000	308	2	0.059138425	1
chr18	61600000	61800000	309	2	-0.050094833	2
chr18	61800000	62000000	310	2	-0.078044075	2
chr18	62000000	62200000	311	2	-0.077608994	2
chr18	62200000	62400000	312	2	-0.07881307	2
chr18	62400000	62600000	313	2	-0.071518567	2
chr18	62600000	62800000	314	2	-0.078747635	2
chr18	62800000	63000000	315	2	-0.074376144	2
chr18	63000000	63200000	316	2	-0.070656476	2
chr18	63200000	63400000	317	2	-0.076064028	2
chr18	63400000	63600000	318	2	-0.073157975	2
chr18	63600000	63800000	319	2	-0.074698245	2
chr18	63800000	64000000	320	2	-0.078841713	2
chr18	64000000	64200000	321	2	-0.080759667	2
chr18	64200000	64400000	322	2	-0.074718547	2
chr18	64400000	64600000	323	2	-0.081896294	2
chr18	64600000	64800000	324	2	-0.072250509	2
chr18	64800000	65000000	325	2	0.037763011	1
chr18	65000000	65200000	326	2	0.073606259	1
chr18	65200000	65400000	327	2	0.079944724	1
chr18	65400000	65600000	328	2	0.079826338	1
chr18	65600000	65800000	329	2	0.071143727	1
chr18	65800000	66000000	330	2	0.076018182	1
chr18	66000000	66200000	331	2	0.079711792	1
chr18	66200000	66400000	332	2	0.0726262	1
chr18	66400000	66600000	333	2	0.004166664	1
chr18	66600000	66800000	334	2	-0.058402731	2
chr18	66800000	67000000	335	2	-0.050080852	2
chr18	67000000	67200000	336	2	-0.03633446	2
chr18	67200000	67400000	337	2	-0.010368895	2
chr18	67400000	67600000	338	2	0.025257679	1
chr18	67600000	67800000	339	2	0.028132971	1
chr18	67800000	68000000	340	2	0.063560086	1
chr18	68000000	68200000	341	2	0.05112441	1
chr18	68200000	68400000	342	2	-0.066673504	2
chr18	68400000	68600000	343	2	-0.068903595	2
chr18	68600000	68800000	344	2	-0.045019226	2
chr18	68800000	69000000	345	2	-0.069218238	2
chr18	69000000	69200000	346	2	-0.065480084	2
chr18	69200000	69400000	347	2	-0.058014385	2
chr18	69400000	69600000	348	2	-0.065052891	2
chr18	69600000	69800000	349	2	-0.065057854	2
chr18	69800000	70000000	350	2	-0.068249315	2
chr18	70000000	70200000	351	2	-0.064323672	2
chr18	70200000	70400000	352	2	-0.073528866	2
chr18	70400000	70600000	353	2	-0.065823146	2
chr18	70600000	70800000	354	2	-0.063203112	2
chr18	70800000	71000000	355	2	-0.030875492	2
chr18	71000000	71200000	356	2	0.005032607	1
chr18	71200000	71400000	357	2	0.043025175	1
chr18	71400000	71600000	358	2	0.006923079	1
chr18	71600000	71800000	359	2	-0.050122025	2
chr18	71800000	72000000	360	2	0.029365296	1
chr18	72000000	72200000	361	2	-0.010087613	2
chr18	72200000	72400000	362	2	0.037588741	1
chr18	72400000	72600000	363	2	0.066096044	1
chr18	72600000	72800000	364	2	0.062369748	1
chr18	72800000	73000000	365	2	0.021082999	1
chr18	73000000	73200000	366	2	-0.019587308	2
chr18	73200000	73400000	367	2	-0.016705684	2
chr18	73400000	73600000	368	2	-0.06198544	2
chr18	73600000	73800000	369	2	-0.068982079	2
chr18	73800000	74000000	370	2	-0.062244332	2
chr18	74000000	74200000	371	2	0.052279435	1
chr18	74200000	74400000	372	2	0.067402363	1
chr18	74400000	74600000	373	2	0.049249512	1
chr18	74600000	74800000	374	2	0.056398004	1
chr18	74800000	75000000	375	2	0.016268607	1
chr18	75000000	75200000	376	2	-0.063028174	2
chr18	75200000	75400000	377	2	-0.076941891	2
chr18	75400000	75600000	378	2	-0.079126757	2
chr18	75600000	75800000	379	2	-0.066466924	2
chr18	75800000	76000000	380	2	-0.0817849	2
chr18	76000000	76200000	381	2	-0.068062248	2
chr18	76200000	76400000	382	2	-0.068194781	2
chr18	76400000	76600000	383	2	-0.061789282	2
chr18	76600000	76800000	384	2	-0.062872951	2
chr18	76800000	77000000	385	2	0.024626225	1
chr18	77000000	77200000	386	2	0.051229998	1
chr18	77200000	77400000	387	2	0.07294012	1
chr18	77400000	77600000	388	2	0.07112001	1
chr18	77600000	77800000	389	2	0.071154647	1
chr18	77800000	78000000	390	2	0.064738174	1
chr18	78000000	78077248	391	2	0	0
